Film Adı,Türler,Özet
Matrak Adamlar,"Komedi, Dram","Ünlü bir stand-up ustası olan George Simmons, kan dolaşımındaki bir sorun nedeniyle ölümcül bir hastalığa yakalandığını öğrenir. George'un bir yıldan az ömrü kalmıştır. Ira ise ümit vaadeden ve George'u örnek alan bir stand-up komedyenidir. Ira ve George günün birinde aynı klüpte sahne alırlar. Ira'nın yeteneğini fark eden George, onu asistanı olması için ikna eder. Ira’nın hayatına girmesi ile George bir çalışandan çok, bir arkadaş edinmiştir."
Sexy Beast,"Suç, Gerilim, Komedi","Eski bir kasa hırsızı olan Gary 'Gal' Dove (Ray Winstone) gansterlik günlerini geride bırakmış,bir köşede biriktirdiği parayla İspanya'da gözlerden uzak lüks bir villada karısı Deedee (Amanda Redman) ve çok yakın dostları Aitch (Cavan Kendall) ve Jackie (Julianne White) ile mutlu ve sakin bir hayat sürdürmektedir.Günlerini havuz kenarında bira içip tembel tembel güneşlenerek,barbekü ve av partileri düzenleyerek geçirirler.Bu huzurlu ve çakırkeyif günlerden birinde Gal'in eski çete arkadaşı Don Logan (Ben Kingsley) yeni bir soygun teklifi ile çıkagelir.Geçmişle bağlarını kopartmış olan Gal bu teklif karşısında isteksiz davranır,ancak sinirli,alıngan,anlayışsız ve saldırgan bir insan olan Don Logan hayır cevabını kabul etmez.Bu beklenmedik misafir ile Gal arasında bir sinir harbi başlamıştır."
Gizli Bahçe,"Aile, Fantastik, Dram","İngiltere’de geçen The Secret Garden, Hindistan’da kendisini istemeyen varlıklı bir İngiliz aileye doğan, Mary Lennox adında 10 yaşındaki bir kıza odaklanıyor. Lennox ebeveynleri öldüğünde amcası Archibald Craven (Colin Firth) ile birlikte yaşaması için İngiltere, Yorkshire'a yollanır. Orada hastalıklı kuzeni Colin ve iki çocukla tanışır. Çocuklar, Misselthwaite Malikanesi civarında mucizevi bir saklı bahçe bulmuşlardır. İki travma yaşamış çocuk olan Colin ve Mary bir yandan birbirlerini iyileştirirken diğer yandan da Mary'nin ailesinin sırlarını keşfedeceklerdir."
Herbie Muza Gidiyor,"Fantastik, Komedi, Aile, Macera","Sevimli minik volkswagen, sahiplerine Meksika'daki kalpazanlar çetesini birbirine düşürmek konusunda yardım etmektedir."
Sevgililer Günü Katliamı,"Korku, Gizem, Gerilim","Tom yıllar sonra kasabasına geri döner. Kasabada yaşanan felaketin üzerinden tam 10 yıl geçmiştir. 10 yıl önceki sevgililer gününde, bir manyak onlarca kişiyi öldürmüştür. Tom'un dönüşü hiç beklemediği olaylara gebe olur. Onun olayı gerçekleştiren katil olduğuna inanan insanlar bulunmaktadır. Tom'un masumiyetini ispatlaması gerekmektedir..."
Süpermen: Kıyamet Günü,"Aksiyon, Animasyon, Bilim-Kurgu","Kimse nereden geldiğini ve ne olduğunu bilmiyor. Hangi amaca veya kime hizmet ettiği belli değil. Bilinen tek şey, yaşayan tüm canlılara karşı büyük bir nefret duyduğu ve yok etme içgüdüsüyle hareket ettiği. Zaten bilinen tek dürtüsü de bu.  Hikayemiz bilinmeyen bir yerde, yer altından gelen seslerle başlıyor. Biri nefretle, çelikten bir duvarı yumruklamakta. İçine kapatıldığı kafesten çıkmak için tüm gücünü harcamakta. Peki ama kurtulup özgürlüğüne kavuştuğunda ne yapacak? Sahip olduğu tek bir amaç var. O da yok etmek. Kıyamet günü yaklaşıyor."
Fantasia 2000,"Animasyon, Aile, Müzik","Bundan 60 yıl önce orijinal FANTASIA gösterime girdiğinde, sinema tarihinde büyük bir devrim gerçekleşmişti. Walt Disney, o zamana dek görülmemiş bir kalitedeki müziksel ve görsel estetiği birarada, uyum içinde sunmuştu izleyiciye. Disney, beğeniler değişip teknik olanaklar arttıkça filmin de revizyona uğramasını istemişti ayrıca. İşte bugün, Disney'in arzusu gerçekleşmiş durumda: Çok sayıda yönetmen, ressam, seslendirme sanatçısı ve besteci, bu görkemli sanat eserinde bizi estetik hazzın zirvesine bir kez daha taşımak için buluştular."
まいちゃんの日常,Korku,
All Eyez on Me,"Tarih, Dram, Müzik","Belgesel tadındaki bu film, 13 Eylül 1996 tarihinde Las Vegas, Nevada’da 4 el ateşle vurulan ve hastaneye kaldırıldıktan 6 gün sonra 25 yaşında vefat eden rap müziğin efsanevi sanatçısı ve aynı zamanda da oyuncu, şair ve aktivist olan Tupac Shakur‘un hayatını bilinmeyen yönleriyle anlatıyor."
Voices Of A Distant Star,"Animasyon, Bilim-Kurgu, Romantik","Yıl 2046. Ortaokul sınıf arkadaşları Mikako ve Noboru. Okulda aynı kulüpteler ve iyi arkadaşlar. 3 sınıfın yaz ayı, Mikako Birleşmiş Milletler Askeriyesine seçilir ve 2047 kışında Mikako yeryüzünden ayrılır ve Noboru ise liseye devam eder. Dünya ve uzaya bölünerek ayrılan Mikako ve Noboru cep telefonlarından mailleşerek haberleşirler. Ancak Mikako’nun bindiği ‘Rişiteria’ mekiği güneş sistemindeki derinliğe yaklaştıkça mail gönderiminin ulaşma zamanı uzamaktadır. Bir süre sonra ‘Rişiteria’ filosu ışık hızını aşarak hareket edince Mikako ve Noboru’nun bulundukları zaman aralığı kapanılmayacak bir şekilde açılır"
Yıldız Gemisi Askerleri 2: Birliğin Kahramanı,"Macera, Korku, Aksiyon, Bilim-Kurgu","Bir grup asker kendilerini Araknidler (""Böcekler"") tarafından istila edilmiş bir dünyada kıstırılmış halde bulur. Bulundukları dünyadan tahliye olmayı beklerken terk edilmiş bir karakola sığınan askerler, kısa zaman sonra asıl tehlikenin etraflarını sarmış ""Böcekler"" olmadığını fark ederler."
Beyond Re-Animator,"Korku, Bilim-Kurgu, Komedi",
AI Love You,"Romantik, Bilim-Kurgu, Dram","Bir yapay zekâ programı, yazılımında yaşanan hata sonucunda genç bir kadına âşık olur ve bir adamın bedenine sızarak kadının kalbini kazanmaya çalışır."
Nocturne,"Korku, Gizem, Gerilim",
Gezegen 51,"Animasyon, Aile, Komedi, Bilim-Kurgu, Macera","Buradan çok çok uzaklarda, hayatın basit, çocukların mutlu ve herşeyin memnun olduğu bir yer vardı...Ama garip bir şey 51. Gezegene gelmekteydi.Hep başka gezegenlere gitmeyi hayal etsek de, ya o gezegenlerde biz uzaylı olursak?Planet 51 (51. Gezegen)'de hep ""öcü"" uzaylıların yerine ""öcü"" insanı koyduğumuzda yaşanacaklara gülmeye hazır olun."
Güzellik Yarışması,Komedi,Küçük bir kasabada güzellik yarışması yapılır. Kazanmak için her şeyi yapabilecek adaylar vardır
Beyazlar Zıplayamaz,"Komedi, Dram","Kült hâline gelmiş olan filmin bu modern versiyonunda, eskiden basketbol yıldızı olan ama sakatlanmaları sebebiyle kariyerinde hız kaybeden Jeremy, bir zamanlar umut vadeden bir basketbolcuyken kendi geleceğini sabote eden Kamal'la gönülsüzce iş birliği yapar. Pek de sağlam olmayan ilişkilerle, finansal baskılarla ve içsel mücadelelerle boğuşan bu zıt karakterli sokak basketbolcuları, hayallerine kavuşmayı son bir kez denemek için güçlerini birleştirir."
Denizci 3: Gizli Tehlike,Aksiyon,"Evine dönen Astsubay Jake Carter, kız kardeşinin tehlikeli kişilerce kaçırıldığını öğrenir. Onu kurtarmak için, düşmanın operasyon merkezine tek başına baskın yapmaya karar verir ve grubun acımasız liderinin, ölümcül bir terörist saldırısı hazırladığını öğrenir."
Monster High: Hauntlywood Macerası,"Aile, Animasyon, Fantastik",Draculanın gerçek bir varisi olduğunu iddaa eden bir grup bu durumu transilvanya ya giderek söylemek isterler ve macera başlar. Bir yandan da kraliçe aranmaya devam edilir. Gerçek varis olduğunu kabul ettirmek için kendisini ispatlaması gereklidir.
맛,Dram,
Nasıl Süper Kahraman Oldum,"Bilim-Kurgu, Macera, Aksiyon, Komedi, Gerilim","İnsanlarla süper kahramanların bir arada yaşadığı dünyadaki yalnız polis, süper güçleri ortaya çıkaran korkunç planı bozmak için zeki bir dedektifle iş birliği yapar."
Babam İçin,Dram,"Basit kaygıları olan saf İrlandalı genç Gerry Conlon, 70’li yıllarda Londra’ya gelir. Kendini hayatın akışına kaptıran delikanlı burada bir işgal evinde serbest bir hayat yaşayan gençlerle birlikte zaman geçirmeye başlar. Bir polis baskınında hiç ilgisi olmadığı 1974 Gyildford bombalamasından sorumlu tutularak tutuklanır.  O dönemin İngiltere’sinde şimdikinden çok farklı olarak, terörle mücadele adına insan haklarının hiçe sayıldığı uygulamalar olmaktadır. Yoğun fiziksel ve manevi işkencelerin baskısı altındaki Gerry’nin ömrünün sonbaharındaki masum babası da, suç ortağı olarak hapse atılır. Kadın bir avukatın yıllar süren çabalarının da yardımıyla, Gerry maruz kaldığı adaletsizliğe direnmeye başlar."
Thunder Force,"Komedi, Aksiyon, Macera, Bilim-Kurgu","Süper güçlere sahip kötülerin kol gezdiği bir dünyada iki çocukluk arkadaşının yolu yıllar sonra tekrar kesişir. Biri, özel güçler kazanmaya yarayan tedavinin mucidi; diğeri ise sakarlığı sayesinde tedavinin ilk deneği olmayı başaran iki eski dost, şehirlerini korumak için sıra dışı bir ekip kurar."
Hiç Hesapta Yokken,"Komedi, Suç, Gerilim","Kyle Fisher (Jon Favreau)'ın tek istediği hayatının kadını olan Laura Getty (Cameron Diaz) ile evlenmek. Laura'nın tek isteği ise rüyasında görebileceği bir düğün. Kyle evlenmeden önce hayatını paylaştığı erkek arkadaşları tarafından kendisine önerilen tek gecelik özgürlük planını uyguluyor. Striptizci çağırdıkları bu gecede, kaza sonucu striptizci ölüyor. Bu olayı örtbas etmek isterlerken gruptan biri olan Adam, karısına herşeyi anlatıyor. Buna kızan Michael da Adam'ı sinir krizi geçirirken öldürüyor. Olaylar daha da sarpa sarıyor ama Laura ne pahasına olursa olsun düğünü gerçekleştirmeyi istiyor."
Véronique'in İkili Yaşamı,Dram,"Veronika Polonya'da yaşamaktadır, Veronique ise Paris'de. Birbirinden haberleri bile olmayan bu iki insan, bir şekilde birbirlerinin hayatlarını etkileyeceklerdir. Veronika bir müzik okuluna girer ve çok çalışır. Ancak ilk performansını verirken ölür. Veronique'nın hayatı da bu noktadan sonra değişmeye başlar ve aniden şarkıcı olmamaya karar verir. Krzysztof Kieslowsk'nin fantaziyle yoğrulmuş bu muazzam filmi, senaryosunun orjinalliği ve Renk Üçlemesinin son halkası olan Kırmızı'da oynayan İrene Jacob'un iki karakteri de son derece inandırıcı bir şekilde oynamasıyla dikkat çekiyor."
Affedilen,Dram,"Londralı zengin bir çift (Ralph Fiennes ve Jessica Chastain), son hızla araçlarıyla Fas’ta bir çölde ilerlemektedir. Hedefleri, arkadaşlarının düzenlediği ve kendilerini çılgınca eğlencenin beklediği bir haftasonu partisidir. Yolculukları, yerli halktan bir gencin karıştığı trajik bir kazayla beklenmedik bir anda son bulur. Çift kazayı örtbas etmek isteyince, gencin babası ortaya çıkar ve adalet ister. Böylece farklı kültürlerin karşı karşıya geldiği ve bütün katılımcıların hayatlarını altüst eden bir çatışmanın yolu açılmış olur."
50대 묵은지 장모님의 유혹,"Romantik, Dram",
Scrambled,Komedi,
Bas Gaza,"Gerilim, Aksiyon, Gizem","Gerçekleştirdikleri yüksek profilli araba soygunlarıyla tüm Avrupa'nın suç dünyasında isimlerini duyuran Andrew ve Garrett Foster kardeşler, Fransa'nın güneyindeki son soygunlarında baltayı taşa vurmuşlardır. Bugatti'sini çalıp yakalandıkları mafya babası Jacomo Morier, son derece öfkelenmiştir. Hayatlarını bağışlamak için tek bir şartı vardır: Morier'nin en büyük rakibi olan Max Klemp'in çok değerli Ferrari 250 GTO'sunu direkt evinden çalmak. Önlerinde sadece 1 haftaları vardır. Foster kardeşler, güzel Stephanie'nin de içinde bulunduğu bir ekip oluşturarak bu zor ve aksiyon dolu görevi başarmaya çalışacaklardır."
Noel iptal,"Komedi, Romantik","Film, 29 yaşında genç bir kadın olan Emma'nın hayatına odaklanıyor. Emma'nın 54 yaşındaki babası, karısının ölümünden kısa bir süre sonra Emma'nın lise zamanındaki çılgın düşmanıyla çıkmaya başlar. Emma ise bu durumdan fazlasıyla rahatsızdır. Babasının Noel tatilini birlikte geçirme isteği üzerine Emma, bu süreçte mutlu çifti ayırma görevine başlar."
Arşiv,"Bilim-Kurgu, Dram, Fantastik, Gerilim","Gavin Rothery’nin ilk uzun metrajına imza attığı, Stacy Martin ve Theo James’e, Toby Jones ve Rhona Mitra‘nın eşlik ettiği bu film izleyiciyi 2038 yılına götürüyor. Film, yeni bir prototip geliştiren ve yaşamını yitirmiş olan eşiyle yeniden bir araya gelmek istediği için geliştirdiği bu yapay zekayı herkesten saklayan George Almore karakterini odak noktasına alıyor."
Abigail: Sınırların Ötesinde,"Macera, Fantastik, Gizem","Salgın bir hastalık yüzünden sınırları kapatılmış bir ülkede yaşayan Abigail henüz 6 yaşındayken, o hastalığa yakalanan babası yetkililer tarafından götürülür. Abby özel güçleri olduğunu ve aslında yaşadığı o şehrin de bir çok sihirle dolu olduğunu anladığı gün aslında o salgın hastalığın sadece özel güçleri olan insanları götürmek için bir bahane olduğunu fark eder ve hızla babasını aramaya koyulur."
One Cut of the Dead,"Komedi, Korku","Genç yönetmen Higurashi, zombilerle ilgili düşük bütçeli bir korku filmi çekmeye karar verir. Pek de yetenekli olmayan oyuncularla çekime başlayan yönetmen İkinci Dünya Savaşı zamanında terk edilen bir Japon tesisini kullanır. Ancak çok geçmeden sette gerçek zombilerin saldırısına uğrarlar. Ekip ve oyuncular son derece tehlikeli olan zombilerden kaçmaya çalışırken yönetmen bunu bir fırsata çevirmeye, her şeyi kayıt altına almaya karar verir."
Baby Boy,"Suç, Dram, Romantik, Gerilim",
1941 жылдың жазы,"Aksiyon, Savaş",
Never Sleep Again: The Elm Street Legacy,Belgesel,"Sinema tarihinin en korkutucu ve yaratıcı korku serisinin perde arkasına götüren bu ödüllü belgeselde ""Rüya Şeytanı"" Freddy Krueger'in kökenlerini keşfedin!"
My First Barbie: Happy DreamDay,"Aile, Animasyon",
37. Karakol,"Gerilim, Aksiyon, Bilim-Kurgu","2021 yılında dünya, uzaylılar tarafından işgal edilmiştir. Gezegenin tüm kaynaklarını kullanmaya başlayan uzaylılar, ardında onbinlerce görevli bırakarak gezegen üzerindeki hakimiyetlerini sürdürmüşlerdir. İnsanlar farklı bölgelerde koloniler kurarak hayatlarını sürdürmeye başlamışlardır. Olaydan on yıl sonra bir grup belgeselci, 37. bölgeye giderek bir film çekmek üzere harekete geçerler."
Armageddon Time,Dram,"Film, aile bağlarının sağlamlığı, arkadaşlığın karmaşık doğası ve “Amerikan Rüyası”nın kuşaklar boyu kovalanmasına dair son derece kişisel bir hikâye anlatıyor. Gray’in 1980’lerde New York’un Queens bölgesinde geçen kendi çocukluğundan anekdotlar içeren film, ikisi de kendi kişiliklerini bulma çabasında, biri Yahudi biri siyah iki küçük çocuğun yakın arkadaşlığı ekseninde siyasal belirsizliğin hüküm sürdüğü bir dönemi merceğine alıyor. Olabildiğince kişisel, acı-tatlı, içten, alabildiğine duygusal ve dokunaklı Armageddon Time, parlak kadrosundaki oyuncuların zihinlere kazınacak performanslarıyla da büyük övgü topladı. Little Odessa, The Yards, We Own the Night, Two Lovers, The Immigrant, The Lost City of Z ve en son Ad Astra filmlerini izlediğimiz James Gray, şöyle diyor: “Ailem ve yaşamımın o dönemi hakkında bir şeyler yapmak istemiştim. Sevdiğim filmlere tutkumu yeniden keşfetmenin de bir yolu oldu benim için.”"
Baron Munchausen'in Maceraları,"Fantastik, Macera, Komedi","17.yüzyıl aristokratı olan Baron Munchausen, yanındaki özel yetenekli adamları Berthold, Adolphus, Albrecht ve küçük bir kızla, Türklerin işgalinde olan şehri kurtarmak için maceradan maceraya atılıyorlar. Dev bir deniz canavarı tarafından yutulmak, aya yolculuk yapmak, Venüs'le dans etmek bu maceralardan sadece birkaçı…"
Liseye Dönüş,Komedi,"Otuz yedi yaşında bir kadın, yirmi yıllık bir komadan uyanır ve bir zamanlar popüler bir amigo kız olduğu liseye geri döner ve son sınıfını bitirip balo kraliçesi olur."
Cake,Dram,"Claire, toplumdan git gide uzaklaşmış, bungalow'unda kendi kendine yaşayan bir kadındır. Dış dünyayla tek bağlantısı onun her şeyiyle ilgilenen ve aynı zamanda da ona arkadaşlık eden çalışanı Silvana ve katıldığı kronik-ağrılı hastaların oluşturduğu terapi grubudur. Zaman geçtikçe kendisini hayata bağlayan nedenlerin azaldığını düşünürken, terapi grubundaki arkadaşı Nina'nın intiharı hayatını alt üst eder. Birbirlerini çok az tanıyor olmalarına rağmen Nina, Claire'ın rüyalarında hatta sanrılarında bile belirmeye başlar. Claire zamanla Nina'nın ölümünün perde arkasına daha çok kafa yormaya başlar: İntihara hazır olduğunu nasıl anlamıştır? Onu buna iten nedir? Geriye gözü yaşlı bir eş ve bir oğlan çocuğu bırakan Nina'nın hayatı Claire'in git gide daha çok ilgisini çeker. Ancak yaptığı araştırmalarla elde edeceği sonuç hiç de beklediği gibi olmayacaktır.  Filmin yönetmen koltuğunda Daniel Bartz bulunuyor. Başrollerde ise Jennifer Aniston, Anna Kendrick ve Felicity Huffman yer alıyor."
Kung Fu Panda: Secrets of the Scroll,"Animasyon, Aile, Komedi","Po kayıp aksiyon figürlerini ararken, yanlışlıkla Öfkeli Beşli'nin yaratılmasına nasıl yardım ettiğinin hikayesi anlatılıyor."
Miller Kavşağı,"Dram, Gerilim, Suç","Fargo', 'O Brother, Where Art Thou?' ve 'Intolerable'’ın yaratıcılarından Amerika’lı gangsterlerin hayatına karmaşık ve görsel bir bakış geliyor. MILLER’S CROSSING’de rakip çeteler, katil galerileri ve tetikçiler yeralıyor. Leo (Albert Finney) İrlanda’lı bir gangster ve politik patrondur, güvendiği teğmeni ve danışmanı anti-kahraman Tom’un (Gabriel Byrne) yardımıyla bir Doğu şehrini yönetmektedir. Ama şehir üzerindeki kontrolleri, Johnny Casper (adında bir İtalyan patron ve acımasız yardımcısı Eddie Dane tarafından zorlanır."
上意討ち 拝領妻始末,"Dram, Tarih, Aksiyon",
Penis Poetry,Belgesel,
Jackass Sonsuza Dek,"Komedi, Belgesel","Daha yaşlı ve ak saçlı ama daha az akıllı Johnny Knoxville ve çetesi başka bir çılgın gösteri ve kötü fikir için geri dönüyor. Yeni arkadaşlar ve bir sürü ünlü konukla birlikte, ekip, kesinlikle kimsenin güvende olmadığı ve tüm duyuların yıprandığı saçma sapan şakalar yapıyor. Patlayan lazımlıklardan hokey disklerine, fındıklara ve eğlenmeyen bir boğa için sihir yapmaya kadar, Jackass Sonsuza Dek daha önce hiç yaşamadığınız eğlenceli bir hız treni yolculuğu gibi."
Tanrının Unuttuğu Yer,"Romantik, Dram","İngiliz usulü Brokeback Dağı sözleriyle övülen Sundance ödüllü Tanrının Unuttuğu Yer , İngiliz bir koyun çiftçisi ile göçmen bir işçi arasındaki aşkı anlatıyor. Kendi de İngiltere ’de bir çiftlikte büyüyen yönetmen Francis Lee ’nin düşük bütçeli bu ilk uzun metrajlı filmi, Sundance ’te yarışmaya alınan tek İngiliz filmi oldu. Film , Yorkshire’de bir koyun çiftliği sahibi olan, hayatından bezmiş, ıssızlıktan bunalmış genç Johnny Saxby’ye odaklanıyor. Romanyalı göçmen Gheorghe, çiftliğe yardımcı kâhya olarak gelince, ikisi arasında kuzu mevsiminde çamur güreşleriyle pekişen duygusal bir yakınlık filizleniyor."
Kurşun Geçirmez,"Aksiyon, Komedi, Fantastik",Gizli ve son derece önemli bir belgenin yıllardır koruyuculuğunu üstlenen gizemli keşiş için artık görevini başka birine emanet etme vakti gelmiştir. Bu kutsal görevi teslim edebileceği doğru kişiyi bulabilmek için dünyayı gezmeye başlayan keşiş New York şehrine vardığında doğru kişiyi burada bulabileceğini hisseder. Sokaklarda yaşayan Kar isimli gencin yolu rastlantı eseri keşişle kesişir ve ona bir konuda yardımcı olur. Keşiş artık uygun adayı bulduğuna emindir. Birlikte atılacakları mücadele zorlu düşmanları da peşi sıra getirecektir.
M - Bir Şehir Katilini Arıyor,"Dram, Gerilim, Suç","Usta yönetmen Fritz Lang’ın kült suç filminde Berlin sokaklarında amansız bir mücadeleye sebep olan bir seri katil hikayesi konu edilir. Sadece çocukları öldüren bu psikopat seri katili durdurmak için çalışmaya başlayan şehrin polis teşkilatı, sokakları sıkı bir denetim altına alır. Katilin yakalanmamasından fazlasıyla tedirgin olan halkın yanısıra, bu baskıdan şikayetçi olan başka bir grup daha vardır. Polisin sıkı denetimi yüzünden yakalanmaktan korkan diğer sokak suçluları ve dilenceler de kendi aralarında organize olarak bu operasyonun bir an önce sona ermesi için katilin peşine düşer. Artık polislerin yanısıra suçlunun peşinde olan yasadışı bir oluşum..."
Sıcak Yaz,Dram,"Platin sarısı saçları ve çarpıcı gülüşüyle Leah her türlü zevkin peşinden koşar. Tatile girmeden önceki iki haftasını oda arkadaşıyla ve patronuyla uyuşturucu kullanarak geçirir. Aynı zamanda torbacısı Blue ile yakınlaşır ve lisede uyuşturucu satarak, kafaları çekerek günlerini geçirirler. “Zirve”de yaşadıkları bu günler Blue’nun tutuklanıp geride büyük miktarda kokain bırakmasıyla sona erer. Leah’ın iki seçeneği vardır: ya uyuşturucu kendi tüketecektir; ya da satıp Blue’yu kurtaracaktır. New York gençliğini içine alan Hedonizm ve pek de konuşulmayan sosyo-ekonomik gerilimleri ele alan White Girl aynı zamanda Elizabeth Wood’un ilk büyük yönetmenlik deneyimidir."
Chacun son cinema ou Ce petit coup au coeur quand la lumiere s'eteint et que le film commence,"Komedi, Dram",
Altına Hücum,"Macera, Komedi, Dram","Yalnız bir altın arayıcısı Alaskaya gelir ve kar fırtınası onu Kanunsuz Kara Lawson'un klubesine sürükler. Bu sırada başka altın arayıcıları da ve birkaç ilginç karakter de aynı klubeye sürüklenmiştir. Fırtına dindikten sonra, Chaplin bir madenci kasabasına gelerek hayatının aşkını keşfeder...  Altına Hücum'da bir çok klasikleşmiş komedi sahnesi yer alıyor. Bunlar arasında, açlıktan ölme noktasına gelen Chaplin'in botlarını sıcak suda pişirmesi ve botların bağcıklarını spagetti gibi hayal ettiği, büyük aşkı Georgina ve arkadaşlarını yeni yıl yemeğine beklerken, gelmeyeceklerini anladığında yaşlarının çenesine doğru süzüldüğü ve Chaplin'in uykuya dalıp rüyasında yemeğe gelen misafirlerini iki patatese çatal batırarak dans ettirerek misafirlerini eğlendirdiği sahneler sayılabilir..."
Çılgın Liseliler,"Komedi, Dram","Okuldan atılma noktasına gelen Max Fischer'ın Rushmore'dan ihraç edilmeye tahammül etmesi mümkün değildir. Çünkü Rushmore onun sevdiği tek şeydir. Rushmore'a öğretmen olarak atanan Rosemary’i etkilemek için her şeyi yapmaya hazır olan Max'i, Herman Blume’un da bu garip ilişkiye dahil olmasıyla daha da zor günler beklemektedir. Yalnız ama ilginç fikirlere açık bir adam olan Herman, Max'e dilediği konuda maddi desteği vermeyi hazırdır. Ancak iki arkadaşın arası ikisi birden Rosemary'e aşık olunca biraz açılmaya başlar."
Dehşet Odası,"Korku, Suç, Gerilim","Punk rock grubu The Ain't Rights gezici olarak barlarda konser verirken son dakika kararıyla Oregon'un ormanlık bölgesindeki bir barda sahne almak için yola çıkarlar. Mekana gittiklerinde her şey yolundadır ve konseri sorunsuz atlatırlar. Ancak konser sonrası, sahne arkasındaki odalarında genç bir kadının cesediyle karşılaşırlar. Mekanın acımasız sahibi olayın tek şahitleri olan grubun ortadan kaldırılmasına karar vermiştir. Müzisyenler, o ve adamları tarafından abluka altına alınan bir odada hayatta kalma savaşı verecekleri uzun bir geceye adım atar."
불도저에 탄 소녀,"Gizem, Dram",
Uygunsuz Gerçek,Belgesel,"ABD eski Başkan Yardımcısı Al Gore'un, küresel ısınmanın siyasi bir problemden çok, dünya için ciddi sorunlar teşkil ettiğini gösterme çabaları, bir belgesel şeklinde seyircilerin karşısına çıkıyor."
I Tyrens tegn,"Romantik, Komedi",
Cennette Bir Gece,"Suç, Gerilim, Aksiyon","Kanlı bir trajedinin ardından hedef hâline gelen haksızlığa uğramış bir gangster, Jeju Adası'nda saklanırken ölümün eşiğindeki bir kadınla yakınlaşır."
Orada Olmayan Adam,"Suç, Dram","Coen kardeşlerin filminde, Billy Bob Thornton, kuzey Kaliforniya'daki küçük bir kasabada hayatından hiç memnun olamayan berber Ed Crane'i canlandırıyor. Kendisini aldatan karısı Doris'e yaptığı şantaj ters teper ve adam öldürmeye dek giden yolda çok daha karanlık sırlarla karşılaşır * Hayatından, konumundan memnun olmayan bir adamın toplum içinde var olabilme, ben de buradayım diyebilme çabası diyebiliriz * Uzun zamandır insanın dünyadaki halini konu edinen böylesi güzel film seyretmemiştim * Hem müzikleriyle,hem sinematografisiyle, hem oyunculuklarıyla, hem de Coen'lerin harika yönetimiyle beni benden almış ama sinema çevrelerince 'underrated' bırakılmış bir şaheser."
Küs Kardeşler Limited Şirketi,"Macera, Dram, Komedi","Babalarının ölümü sonrası Hindistan’a yolculuğa çıkmaya karar veren birbirinden ilginç karakterdeki üç kardeşin başlarından geçen fantastik olayların anlatıldığı The Darjeeling Limited, Wes Anderson imzasını taşıyor.  Filmin hikayesi, birbirine yabancı üç kardeşin babalarının ölümünün ardından Hindistan'da bir tren turuna çıkmalarını anlatıyor.  Hayal ürünü olan uzun mesafe treni ""Darjeeling Limited""ın ismi, belli ki Darjeeling Himalayan Railway'den alıntılanmış... Bu tren yolculuğu, birbirlerini tanıyıp yakınlaşmaya çalışan kardeşlerin çabalarının arka planını oluşturuyor..."
Amerikan Kuşatması,"Aksiyon, Macera, Gerilim","Georgia'nın küçük bir kırsal kasabasının şerifi olan eski bir NYPD subayı, zengin bir doktoru rehin alan bir hırsız çetesiyle mücadele etmek zorundadır."
The Perfect Guy,"Dram, Gerilim","Erkek arkadaşından eziyetli bir şekilde ayrılan bir kadın, birdenbire kendini yakışıklı bir yabancı ile tutku dolu bir ilişki içerinde bulur. Yeni arkadaşı gerçek olamayacak kadar iyidir ancak kadın kime güveneceği ve kimden korkacağı konusunda acele etmemelidir."
윤율과 러시아 색녀,Romantik,
盲女72小時,Gerilim,
トウキョウソナタ,Dram,
1922,"Korku, Suç, Dram","Bir çiftçi, karısını öldürdüğüne dair itirafını kâğıda döker. Ama kadının ölümü, korkunç bir öykünün sadece başlangıcıdır. Stephen King'in uzun öyküsünden uyarlandı."
Doğum Günü 4 Temmuz,"Dram, Savaş","Masumiyetin kaybolup cesarete dönüştüğü bir hikaye.Oliver Stone'un Vietnam'a 'sol'dan bir bakış attığı 'Doğum Günü Dört Temmuz', muhafazakar görüşlü, içi Amerikan vatanseverliğiyle dolu bir gencin savaşa gitmesini ve gerçeklerle yüz yüze gelmesini anlatıyor. Tom Cruise filmdeki rolüyle Oscar adayı olmuş ve unutulmaz bir performans vermişti."
Sonsuz Uçuş,"Macera, Dram",Bir kargo uçağı Sahra çölüne zorunlu iniş yapar ve kullanılamaz duruma gelir. Yolculardan biri uçağın kalıntılarından yeni ve daha küçük bir uçak yapabileceğini söyler. Susuzluk yüzünden zamanla yarışmak zorundadırlar.
Dost Bulan Hazine Bulur,"Aksiyon, Macera, Komedi","Hastalık derecesinde at yarşları tutkunu olan Alan (Terence Hill) bu yüzden beş parasızdır ve amcasından aldığı 2000 dolarla girdiği son işte mafia ile başı belaya girince canın kurtarmak için adamlardan kaçmaya başlar. Yola çıkmadan önce son kez uğradığı amcasından pasiflik okyanusundaki bir adada bulunduğu iddia edilen hazinenin haritasını da ynına alarak lmana giden Alan'ın, burada tek başına dünya turuna çıkmaya hazırlanan Charlie (Bud Spencer)' nin teknesine gizlice binmesiyle birlikte büyük bir patlama başlar....Komik ikilinin büyüleyici tropik bir atmosferde yaşadıkları baştan sona eğlence ve macera dolu bir komedi....."
